,match,bowlingTeam,bowler,overs,maiden,runs,wicktes,economy,zeros,fours,sixex,wides,noBalls,match_id
164,Afghanistan Vs Sri Lanka,Sri Lanka,Azmatullah Omarzai,2,0,17,0,8.5,2,1,0,1,0,T20I # 1856
165,Afghanistan Vs Sri Lanka,Sri Lanka,Mohammad Nabi,2,0,16,0,8,2,0,1,0,0,T20I # 1856
166,Afghanistan Vs Sri Lanka,Sri Lanka,Gulbadin Naib,1,0,12,0,12,1,2,0,0,0,T20I # 1856
167,Australia Vs Ireland,Australia,Josh Little,4,0,21,2,5.25,13,2,0,2,0,T20I # 1855
168,Australia Vs Ireland,Australia,Mark Adair,4,0,59,0,14.75,6,7,2,6,0,T20I # 1855
169,Australia Vs Ireland,Australia,Barry McCarthy,4,0,29,3,7.25,7,2,0,1,0,T20I # 1855
170,Australia Vs Ireland,Australia,Gareth Delany,3,0,29,0,9.66,10,2,2,2,0,T20I # 1855
171,Australia Vs Ireland,Australia,Fionn Hand,1,0,15,0,15,2,0,2,1,0,T20I # 1855
172,Australia Vs Ireland,Australia,George Dockrell,4,0,24,0,6,8,0,1,0,0,T20I # 1855
173,Australia Vs Ireland,Ireland,Josh Hazlewood,3,0,24,0,8,8,1,2,1,0,T20I # 1855
174,Australia Vs Ireland,Ireland,Pat Cummins,4,0,28,2,7,14,3,1,1,0,T20I # 1855
175,Australia Vs Ireland,Ireland,Glenn Maxwell,2.1,0,14,2,6.46,6,2,0,0,0,T20I # 1855
176,Australia Vs Ireland,Ireland,Mitchell Starc,4,1,43,2,10.75,11,8,0,2,1,T20I # 1855
177,Australia Vs Ireland,Ireland,Adam Zampa,4,0,19,2,4.75,9,1,0,0,0,T20I # 1855
178,Australia Vs Ireland,Ireland,Marcus Stoinis,1,0,6,1,6,2,0,0,0,0,T20I # 1855
179,India Vs South Africa,India,Wayne Parnell,4,1,15,3,3.75,16,0,1,0,0,T20I # 1853
180,India Vs South Africa,India,Kagiso Rabada,4,0,26,0,6.5,13,2,1,1,0,T20I # 1853
181,India Vs South Africa,India,Lungi Ngidi,4,0,29,4,7.25,10,3,1,0,0,T20I # 1853
182,India Vs South Africa,India,Anrich Nortje,4,0,23,1,5.75,12,1,1,0,0,T20I # 1853
183,India Vs South Africa,India,Keshav Maharaj,3,0,28,0,9.33,5,3,1,0,0,T20I # 1853
184,India Vs South Africa,India,Aiden Markram,1,0,5,0,5,1,0,0,0,0,T20I # 1853
185,India Vs South Africa,South Africa,Bhuvneshwar Kumar,3.4,0,21,0,5.72,13,2,1,0,0,T20I # 1853
186,India Vs South Africa,South Africa,Arshdeep Singh,4,0,25,2,6.25,13,4,0,1,0,T20I # 1853
187,India Vs South Africa,South Africa,Mohammed Shami,4,0,13,1,3.25,15,1,0,0,0,T20I # 1853
188,India Vs South Africa,South Africa,Hardik Pandya,4,0,29,1,7.25,8,3,0,0,0,T20I # 1853
189,India Vs South Africa,South Africa,Ravichandran Ashwin,4,0,43,1,10.75,5,1,4,0,0,T20I # 1853
190,Netherlands Vs Pakistan,Netherlands,Shaheen Shah Afridi,4,0,19,1,4.75,13,1,0,1,0,T20I # 1852
191,Netherlands Vs Pakistan,Netherlands,Naseem Shah,4,0,11,1,2.75,15,0,0,0,0,T20I # 1852
192,Netherlands Vs Pakistan,Netherlands,Mohammad Wasim,3,0,15,2,5,10,1,0,1,0,T20I # 1852
193,Netherlands Vs Pakistan,Netherlands,Haris Rauf,3,0,10,1,3.33,11,1,0,0,0,T20I # 1852
194,Netherlands Vs Pakistan,Netherlands,Shadab Khan,4,0,22,3,5.5,11,2,0,0,0,T20I # 1852
195,Netherlands Vs Pakistan,Netherlands,Mohammad Nawaz,2,0,11,0,5.5,3,0,0,0,0,T20I # 1852
196,Netherlands Vs Pakistan,Pakistan,Fred Klaassen,3,0,26,0,8.66,4,3,0,0,0,T20I # 1852
197,Netherlands Vs Pakistan,Pakistan,Paul van Meekeren,4,0,19,1,4.75,15,2,0,0,0,T20I # 1852
198,Netherlands Vs Pakistan,Pakistan,Brandon Glover,2.5,0,22,2,7.76,9,3,0,0,0,T20I # 1852
199,Netherlands Vs Pakistan,Pakistan,Tim Pringle,1,0,12,0,12,1,2,0,0,0,T20I # 1852
200,Netherlands Vs Pakistan,Pakistan,Logan van Beek,2,0,9,0,4.5,5,0,0,0,0,T20I # 1852
201,Netherlands Vs Pakistan,Pakistan,Roelof van der Merwe,1,0,7,0,7,1,0,0,0,0,T20I # 1852
202,Bangladesh Vs Zimbabwe,Bangladesh,Richard Ngarava,4,0,24,2,6,11,2,0,2,0,T20I # 1851
203,Bangladesh Vs Zimbabwe,Bangladesh,Blessing Muzarabani,2,0,13,2,6.5,8,3,0,0,0,T20I # 1851
204,Bangladesh Vs Zimbabwe,Bangladesh,Tendai Chatara,3,0,18,0,6,7,1,0,0,0,T20I # 1851
205,Bangladesh Vs Zimbabwe,Bangladesh,Sikandar Raza,4,0,35,1,8.75,2,2,1,0,0,T20I # 1851
206,Bangladesh Vs Zimbabwe,Bangladesh,Brad Evans,3,0,32,0,10.66,2,3,1,1,0,T20I # 1851
207,Bangladesh Vs Zimbabwe,Bangladesh,Wessly Madhevere,2,0,18,0,9,0,1,0,0,0,T20I # 1851
208,Bangladesh Vs Zimbabwe,Bangladesh,Sean Williams,2,0,10,1,5,4,0,0,1,0,T20I # 1851
209,Bangladesh Vs Zimbabwe,Zimbabwe,Taskin Ahmed,4,1,19,3,4.75,15,3,0,0,0,T20I # 1851
210,Bangladesh Vs Zimbabwe,Zimbabwe,Hasan Mahmud,4,0,36,0,9,8,5,0,3,0,T20I # 1851
211,Bangladesh Vs Zimbabwe,Zimbabwe,Mosaddek Hossain,4,0,34,2,8.5,11,3,2,0,1,T20I # 1851
212,Bangladesh Vs Zimbabwe,Zimbabwe,Mustafizur Rahman,4,0,15,2,3.75,11,0,0,0,0,T20I # 1851
213,Bangladesh Vs Zimbabwe,Zimbabwe,Shakib Al Hasan,4,0,34,0,8.5,5,3,0,0,0,T20I # 1851
214,New Zealand Vs Sri Lanka,New Zealand,Maheesh Theekshana,4,0,35,1,8.75,7,2,2,1,0,T20I # 1850
215,New Zealand Vs Sri Lanka,New Zealand,Kasun Rajitha,4,0,23,2,5.75,16,3,0,1,2,T20I # 1850
216,New Zealand Vs Sri Lanka,New Zealand,Dhananjaya de Silva,2,0,14,1,7,4,1,0,0,0,T20I # 1850
217,New Zealand Vs Sri Lanka,New Zealand,Wanindu Hasaranga,4,0,22,1,5.5,9,1,0,0,0,T20I # 1850
218,New Zealand Vs Sri Lanka,New Zealand,Lahiru Kumara,3,0,37,1,12.33,2,2,2,2,1,T20I # 1850
219,New Zealand Vs Sri Lanka,New Zealand,Chamika Karunaratne,3,0,34,0,11.33,5,3,1,1,0,T20I # 1850
220,New Zealand Vs Sri Lanka,Sri Lanka,Tim Southee,4,1,12,1,3,18,0,1,1,0,T20I # 1850
221,New Zealand Vs Sri Lanka,Sri Lanka,Trent Boult,4,0,13,4,3.25,18,1,0,1,0,T20I # 1850
222,New Zealand Vs Sri Lanka,Sri Lanka,Lockie Ferguson,4,0,35,1,8.75,11,4,1,3,0,T20I # 1850
223,New Zealand Vs Sri Lanka,Sri Lanka,Mitchell Santner,4,0,21,2,5.25,13,3,0,0,0,T20I # 1850
224,New Zealand Vs Sri Lanka,Sri Lanka,Ish Sodhi,3.2,0,21,2,6.3,11,2,1,1,0,T20I # 1850
225,Zimbabwe Vs Pakistan,Zimbabwe,Shaheen Shah Afridi,4,0,29,0,7.25,9,3,0,0,0,T20I # 1849
226,Zimbabwe Vs Pakistan,Zimbabwe,Naseem Shah,4,0,34,0,8.5,7,4,0,2,0,T20I # 1849
227,Zimbabwe Vs Pakistan,Zimbabwe,Mohammad Wasim,4,0,24,4,6,16,2,1,4,0,T20I # 1849
228,Zimbabwe Vs Pakistan,Zimbabwe,Haris Rauf,4,1,12,1,3,15,0,0,0,0,T20I # 1849
229,Zimbabwe Vs Pakistan,Zimbabwe,Shadab Khan,4,0,23,3,5.75,8,1,0,0,0,T20I # 1849
230,Zimbabwe Vs Pakistan,Pakistan,Richard Ngarava,4,0,24,0,6,15,2,1,2,0,T20I # 1849
231,Zimbabwe Vs Pakistan,Pakistan,Blessing Muzarabani,4,0,18,1,4.5,11,1,0,0,0,T20I # 1849
