,match,bowlingTeam,bowler,overs,maiden,runs,wicktes,economy,zeros,fours,sixex,wides,noBalls
169,Australia Vs Ireland,Australia,Barry McCarthy,4,0,29,3,7.25,7,2,0,1,0
170,Australia Vs Ireland,Australia,Gareth Delany,3,0,29,0,9.66,10,2,2,2,0
171,Australia Vs Ireland,Australia,Fionn Hand,1,0,15,0,15.00,2,0,2,1,0
172,Australia Vs Ireland,Australia,George Dockrell,4,0,24,0,6.00,8,0,1,0,0
173,Australia Vs Ireland,Ireland,Josh Hazlewood,3,0,24,0,8.00,8,1,2,1,0
174,Australia Vs Ireland,Ireland,Pat Cummins,4,0,28,2,7.00,14,3,1,1,0
175,Australia Vs Ireland,Ireland,Glenn Maxwell,2.1,0,14,2,6.46,6,2,0,0,0
176,Australia Vs Ireland,Ireland,Mitchell Starc,4,1,43,2,10.75,11,8,0,2,1
177,Australia Vs Ireland,Ireland,Adam Zampa,4,0,19,2,4.75,9,1,0,0,0
178,Australia Vs Ireland,Ireland,Marcus Stoinis,1,0,6,1,6.00,2,0,0,0,0
179,India Vs South Africa,India,Wayne Parnell,4,1,15,3,3.75,16,0,1,0,0
180,India Vs South Africa,India,Kagiso Rabada,4,0,26,0,6.50,13,2,1,1,0
181,India Vs South Africa,India,Lungi Ngidi,4,0,29,4,7.25,10,3,1,0,0
182,India Vs South Africa,India,Anrich Nortje,4,0,23,1,5.75,12,1,1,0,0
183,India Vs South Africa,India,Keshav Maharaj,3,0,28,0,9.33,5,3,1,0,0
184,India Vs South Africa,India,Aiden Markram,1,0,5,0,5.00,1,0,0,0,0
185,India Vs South Africa,South Africa,Bhuvneshwar Kumar,3.4,0,21,0,5.72,13,2,1,0,0
186,India Vs South Africa,South Africa,Arshdeep Singh,4,0,25,2,6.25,13,4,0,1,0
187,India Vs South Africa,South Africa,Mohammed Shami,4,0,13,1,3.25,15,1,0,0,0
188,India Vs South Africa,South Africa,Hardik Pandya,4,0,29,1,7.25,8,3,0,0,0
189,India Vs South Africa,South Africa,Ravichandran Ashwin,4,0,43,1,10.75,5,1,4,0,0
